"","id","date","geo","lat","long","text"
"1206","683449956305252353","2016-01-03 01:49:02","Valparaíso de Goiás, Brasil","-16.09899","-47.98813","meu wpp parece água da dengue"
"1205","683463228102422528","2016-01-03 02:41:46","Armação dos Búzios, Brasil","-22.771","-41.9629","Cara to com suspeita de dengue em pleno dia 02 de janeiro . Começo de ano oh"
"1202","683474653696897025","2016-01-03 03:27:10","Araruama, Brasil","-22.87278","-42.343059999999994","Fora que vou sair daqui com zica e dengue provavelmente"
"1201","683475891075289088","2016-01-03 03:32:05","Serra, Brasil","-23.62611","-46.79167","Minha pagina ta tão parada que to com medo de dar dengue ."
"1200","683476268449402880","2016-01-03 03:33:35","Ibiúna, Brasil","-23.83577","-47.21076","@_hiwilson é dengue"
"1198","683493503092011008","2016-01-03 04:42:04","Mogi das Cruzes, Brasil","-23.522779999999997","-46.18833","meu whats ta mais parado q água de dengue"
"1197","683494905851822080","2016-01-03 04:47:38","São João del Rei, Brasil","-21.13556","-44.26167","Todos contra a dengue e o maldito mosquito! https:// twitter.com/jb5estrelas/st atus/683494799119355905 …"
"1196","683498505726504960","2016-01-03 05:01:57","Curitiba, Brazil","-25.42778","-49.27306","Lanna/Lana: Cuidado pra não deixar parar água nesses pneus pode criar dengue"
"1192","683506936915079168","2016-01-03 05:35:27","Brazil","-10.0","-55.0","@carlise_ pegar dengue ainda"
"1191","683507973126287360","2016-01-03 05:39:34","Porto Seguro, Brasil","-16.449720000000003","-39.06472","@_Lucasgsf que isso sô que bad. Eu tive dengue tb mas era novinha pakas tinha uns 8 anos. Sofri viu nu 1 semana de cama"
"1189","683515875064954881","2016-01-03 06:10:58","Nova Iguaçu, Brasil","-22.75917","-43.45111","Meu whats vai dar dengue  muito parado"
"1188","683516913348132864","2016-01-03 06:15:05","Sao Paulo, Brazil","-23.5475","-46.636109999999995","eu sou picada por insetos toda hora se for mosquito da dengue já morri"
"1186","683521231669297154","2016-01-03 06:32:15","Rio de Janeiro, Brazil","-22.90278","-43.2075","tml mais parada que água com foco de dengue"
"1185","683525017917886464","2016-01-03 06:47:18","Recife, Brazil","-8.053889999999999","-34.88111","A parada da dengue tá foda por aqui"
"1184","683528522980278272","2016-01-03 07:01:13","Indaiatuba, Brasil","-23.088420000000003","-47.2119","DENGUE NÃO É LEGAL :/"
"1182","683541801727299584","2016-01-03 07:53:59","Rio de Janeiro, Brazil","-22.90278","-43.2075","@AnaClaradosAnj8 melhoras e para de graça cr vai sim pode ser dengue cr vai no médico amor"
"1180","683564899344236544","2016-01-03 09:25:46","Londrina, Brasil","-23.31028","-51.16278","A dengue me pica em MS. Fez efeito em SC. E sou atendido em PR."
"1177","683574584373809152","2016-01-03 10:04:15","Sao Paulo, Brazil","-23.5475","-46.636109999999995","Brilliant ~ dengue huge in Brazil too https:// twitter.com/duffygary/stat us/683573906897301504 …"
"1173","683606861204090881","2016-01-03 12:12:31","Muriaé, Brasil","-21.13056","-42.36639","Mano disse que 2016 ia ser um lixoooooooo eu to com dengue em pleno dia 3 de janeiro de 20166666666"
"1171","683616605591441408","2016-01-03 12:51:14","Rio de Janeiro, Brazil","-22.90278","-43.2075","A culpa é da Dengue  micro X não combina com droga ma nutrição bebida liberada infecções ou uso virais.A prevenção nas casas bairros.."
"1169","683629462894817280","2016-01-03 13:42:19","São Luís, Brazil","-2.52972","-44.30278","Faz um mês que to com o vírus da dengue .. Não sei mais o que eu faço."
"1167","683647009820119040","2016-01-03 14:52:03","Volta Redonda, Brasil","-22.52306","-44.10417","Tive um sonho maluco onde eu estava com dengue . Chuta que é macumba!"
"1166","683648928802324481","2016-01-03 14:59:40","Indaiatuba, Brasil","-23.088420000000003","-47.2119","@nathborquezan to bem mal miga pelos exames e os meus sintomas tudo indica dengue :/"
"1165","683648940177256448","2016-01-03 14:59:43","Divinópolis, Brasil","-20.14355","-44.89065","eu devo ter emagrecido uns 450 kg por causa dessa porra de dengue"
"1163","683650479973339136","2016-01-03 15:05:50","Lagoa Santa, Brasil","-19.63006","-43.9009","@STKRTheMythical ontem foi dengue ?"
"1162","683651063220715520","2016-01-03 15:08:09","Pirapetinga, Brasil","-21.66797","-42.36515","Acho que minha mãe tá com dengue"
"1161","683652391539970048","2016-01-03 15:13:26","Rio de Janeiro, Brazil","-22.90278","-43.2075","@GPronaldo13 @luis_lago2002 Usem o mesmo método que estão fazendo com o mosquito da dengue : não deixa nascer."
