geo,approx_lat,approx_long
"Sabará, Brasil",-19.884526,-43.826722
"Brasília, Brazil",-15.794229,-47.882166
"Encarnacion, Paraguay",-27.252292,-55.913587
"Entre Ríos, Argentina",-31.774665,-60.495646
"Guarujá, Brasil",-23.994844,-46.256868
"Taboão da Serra, Brasil",-23.622876,-46.781665
"Caseros, Argentina",-34.609483,-58.563463
"Dominican Republic",18.735693,-70.162651
"Alto Parana, Paraguay",-25.607555,-54.961184
"São José dos Campos, Brasil",-23.223701,-45.900907
"Palmas, Brazil",-10.249091,-48.324286
"Central, Paraguay",-25.562811,-57.507991
"Benito Juárez, Quintana Roo",21.1399,-86.866398
"Curitiba, Brazil",-25.428954,-49.267137
"Rio de Janeiro, Brazil",-22.906847,-43.172896
"La Plata, Argentina",-34.920495,-57.953566
"Vitória, Brazil",-20.297618,-40.295777
"Bogotá, D.C., Colombia",4.710989,-74.072092
"Lucas do Rio Verde, Brasil",-13.064847,-55.919321
"El Salvador",13.794185,-88.89653
"Misiones, Argentina",-27.426925,-55.946708
"Asuncion, Paraguay",-25.26374,-57.575926
"Montevideo, Uruguay",-34.901113,-56.164531
"San Luis Potosí, México",22.15647,-100.985541
"San Miguel, Peru",-12.077493,-77.093402
"La Costa, Argentina",-36.737612,-56.685059
"Córdoba, Argentina",-31.420083,-64.188776
"Tarímbaro, Michoacán de Ocampo",19.791176,-101.175893
"São Mateus, Brasil",-18.719144,-39.856744
"Mesquita, Brasil",-22.781945,-43.429318
"Paraguay",-23.442503,-58.443832
"Piura, Peru",-5.319709,-80.454903
"Mérida, Yucatán",20.96737,-89.592586
"Tlajomulco de Zúñiga, Jalisco",20.473687,-103.447931
"Durazno, Uruguay",-33.382298,-56.527551
"Recife, Brazil",-8.057838,-34.882897
"Sao Paulo, Brazil",-23.55052,-46.633309
"Tambaú, Brasil",-21.703402,-47.27079
"Maceió, Brazil",-9.649849,-35.708949
"Belford Roxo, Brasil",-22.764539,-43.399626
"Santa Fe, Argentina",-31.610658,-60.697294
"Belém, Brazil",-1.455755,-48.49018
"Castelo, Brasil",-20.603746,-41.203524
"Camerino Z. Mendoza, Veracruz de Ignacio de la Llave",18.804286,-97.184629
"Itapua, Paraguay",-26.792362,-55.668964
"Saint Kitts and Nevis",17.357822,-62.782998
"Cosmópolis, Brasil",-22.642392,-47.193026
"Cariacica, Brasil",-20.26431,-40.420302
"Caguas, Puerto Rico",18.2388,-66.035249
"Santa Teresa, Brasil",-22.919121,-43.190733
"Sorocaba, Brasil",-23.50153,-47.45256
"Las Piedras, USA",33.757669,-111.914242
"Bauru, Brasil",-22.314459,-49.058695
"Corrientes, Argentina",-27.469213,-58.830635
"Araraquara, Brasil",-21.784827,-48.178649
"Praia Grande, Brasil",-24.008873,-46.412503
"Valencia, Venezuela",10.157931,-67.99721
