 ,lon ,lat ,weight ,clusterStart ,clusterEnd
1,-157,21,0.8021811664,05/01/16 01:04,10/01/16 00:40
2,-117,33,0.9214641862,05/01/16 01:04,10/01/16 00:40
3,-111,29,1.5711899231,05/01/16 01:04,10/01/16 00:40
4,-107,31,0.9794202976,05/01/16 01:04,10/01/16 00:40
5,-103,21,0.7386690318,05/01/16 01:04,10/01/16 00:40
6,-103,23,0.5648736073,05/01/16 01:04,10/01/16 00:40
7,-103,25,1.9100801411,05/01/16 01:04,10/01/16 00:40
8,-101,21,0.9882856515,05/01/16 01:04,10/01/16 00:40
9,-93,17,0.6049970446,05/01/16 01:04,10/01/16 00:40
10,-89,13,8.0017761202,05/01/16 01:04,10/01/16 00:40
11,-85,11,1.5545819582,05/01/16 01:04,10/01/16 00:40
12,-85,13,1.2519163166,05/01/16 01:04,10/01/16 00:40
13,-81,9,1.2962324319,05/01/16 01:04,10/01/16 00:40
14,-79,-3,0.8717582395,05/01/16 01:04,10/01/16 00:40
15,-79,-1,3.731988526,05/01/16 01:04,10/01/16 00:40
16,-77,-13,0.9414784645,05/01/16 01:04,10/01/16 00:40
17,-77,3,2.421832387,05/01/16 01:04,10/01/16 00:40
18,-75,-7,4.6399334448,05/01/16 01:04,10/01/16 00:40
19,-75,5,3.0774785557,05/01/16 01:04,10/01/16 00:40
20,-73,11,1.3210860823,05/01/16 01:04,10/01/16 00:40
21,-73,41,1.9887470511,05/01/16 01:04,10/01/16 00:40
22,-71,-33,1.2831814689,05/01/16 01:04,10/01/16 00:40
23,-71,19,9.4878195151,05/01/16 01:04,10/01/16 00:40
24,-71,43,2.2044403356,05/01/16 01:04,10/01/16 00:40
25,-69,-43,0.8906929006,05/01/16 01:04,10/01/16 00:40
26,-69,-33,2.9137281406,05/01/16 01:04,10/01/16 00:40
27,-69,9,0.9944701687,05/01/16 01:04,10/01/16 00:40
28,-69,11,3.0932275156,05/01/16 01:04,10/01/16 00:40
29,-69,19,0.6680370392,05/01/16 01:04,10/01/16 00:40
30,-67,-45,0.5950158482,05/01/16 01:04,10/01/16 00:40
31,-67,-39,0.6750189926,05/01/16 01:04,10/01/16 00:40
32,-67,-29,0.5851993207,05/01/16 01:04,10/01/16 00:40
33,-67,-27,1.6755952272,05/01/16 01:04,10/01/16 00:40
34,-67,-9,1.2618915172,05/01/16 01:04,10/01/16 00:40
35,-67,9,11.9489842811,05/01/16 01:04,10/01/16 00:40
36,-67,11,13.4332302493,05/01/16 01:04,10/01/16 00:40
37,-65,-31,7.3562716785,05/01/16 01:04,10/01/16 00:40
38,-65,-29,0.9278734765,05/01/16 01:04,10/01/16 00:40
39,-65,-27,0.7295101721,05/01/16 01:04,10/01/16 00:40
40,-65,-25,1.2486551622,05/01/16 01:04,10/01/16 00:40
41,-65,11,3.4232254939,05/01/16 01:04,10/01/16 00:40
42,-63,9,0.960594864,05/01/16 01:04,10/01/16 00:40
43,-61,-35,0.8931658524,05/01/16 01:04,10/01/16 00:40
44,-61,-33,6.1474505433,05/01/16 01:04,10/01/16 00:40
45,-61,-31,3.4322431133,05/01/16 01:04,10/01/16 00:40
46,-61,-25,8.7608122857,05/01/16 01:04,10/01/16 00:40
47,-59,-35,22.3584628602,05/01/16 01:04,10/01/16 00:40
48,-59,-27,4.772770863,05/01/16 01:04,10/01/16 00:40
49,-59,-23,35.441993274,05/01/16 01:04,10/01/16 00:40
50,-59,-3,3.0888960301,05/01/16 01:04,10/01/16 00:40
51,-57,-35,3.1412598783,05/01/16 01:04,10/01/16 00:40
52,-57,-33,6.4988726196,05/01/16 01:04,10/01/16 00:40
53,-57,-29,0.7770072688,05/01/16 01:04,10/01/16 00:40
54,-57,-27,0.7647181389,05/01/16 01:04,10/01/16 00:40
55,-57,-25,15.4044020677,05/01/16 01:04,10/01/16 00:40
56,-57,-15,0.5925463855,05/01/16 01:04,10/01/16 00:40
57,-55,-29,1.3753000177,05/01/16 01:04,10/01/16 00:40
58,-55,-27,40.0634004282,05/01/16 01:04,10/01/16 00:40
59,-55,-25,4.2060095802,05/01/16 01:04,10/01/16 00:40
60,-55,-23,5.2870999106,05/01/16 01:04,10/01/16 00:40
61,-55,-21,0.8561882845,05/01/16 01:04,10/01/16 00:40
62,-55,-17,0.8449863844,05/01/16 01:04,10/01/16 00:40
63,-53,-33,0.5917255109,05/01/16 01:04,10/01/16 00:40
64,-53,-29,3.2560078566,05/01/16 01:04,10/01/16 00:40
65,-53,-27,0.8455722874,05/01/16 01:04,10/01/16 00:40
66,-53,-25,0.5285090203,05/01/16 01:04,10/01/16 00:40
67,-53,-23,0.6925547341,05/01/16 01:04,10/01/16 00:40
68,-53,-11,23.1305519792,05/01/16 01:04,10/01/16 00:40
69,-51,-31,7.4708197575,05/01/16 01:04,10/01/16 00:40
70,-51,-29,7.0001971717,05/01/16 01:04,10/01/16 00:40
71,-51,-23,4.4620819589,05/01/16 01:04,10/01/16 00:40
72,-51,-21,1.4063205771,05/01/16 01:04,10/01/16 00:40
73,-51,-19,0.9639298077,05/01/16 01:04,10/01/16 00:40
74,-51,-17,0.5743491775,05/01/16 01:04,10/01/16 00:40
75,-49,-29,2.3351824193,05/01/16 01:04,10/01/16 00:40
76,-49,-27,10.5291716057,05/01/16 01:04,10/01/16 00:40
77,-49,-25,72.0251600653,05/01/16 01:04,10/01/16 00:40
78,-49,-23,2.6983527449,05/01/16 01:04,10/01/16 00:40
79,-49,-21,5.6106740188,05/01/16 01:04,10/01/16 00:40
80,-49,-19,0.6004017137,05/01/16 01:04,10/01/16 00:40
81,-49,-17,6.2867483685,05/01/16 01:04,10/01/16 00:40
82,-49,-15,0.9100388241,05/01/16 01:04,10/01/16 00:40
83,-49,-1,4.0741971667,05/01/16 01:04,10/01/16 00:40
84,-47,-25,2.4590507145,05/01/16 01:04,10/01/16 00:40
85,-47,-23,57.1964823158,05/01/16 01:04,10/01/16 00:40
86,-47,-21,4.3578850517,05/01/16 01:04,10/01/16 00:40
87,-47,-19,0.8316220984,05/01/16 01:04,10/01/16 00:40
88,-47,-17,0.5900871717,05/01/16 01:04,10/01/16 00:40
89,-47,-15,0.8508637295,05/01/16 01:04,10/01/16 00:40
90,-45,-23,8.5479903057,05/01/16 01:04,10/01/16 00:40
91,-45,-21,0.8723627058,05/01/16 01:04,10/01/16 00:40
92,-45,-19,9.0899792294,05/01/16 01:04,10/01/16 00:40
93,-45,-13,0.7594358449,05/01/16 01:04,10/01/16 00:40
94,-45,-3,1.6645568334,05/01/16 01:04,10/01/16 00:40
95,-43,-23,47.0349082152,05/01/16 01:04,10/01/16 00:40
96,-43,-21,12.448043895,05/01/16 01:04,10/01/16 00:40
97,-43,-19,25.6575481761,05/01/16 01:04,10/01/16 00:40
98,-41,-23,1.2133805223,05/01/16 01:04,10/01/16 00:40
99,-41,-21,8.7352360085,05/01/16 01:04,10/01/16 00:40
100,-41,-19,3.3945287249,05/01/16 01:04,10/01/16 00:40
101,-41,-15,1.7094964659,05/01/16 01:04,10/01/16 00:40
102,-39,-19,0.6689637774,05/01/16 01:04,10/01/16 00:40
103,-39,-13,1.6325041538,05/01/16 01:04,10/01/16 00:40
104,-39,-3,4.3841540872,05/01/16 01:04,10/01/16 00:40
105,-37,-11,1.1980380091,05/01/16 01:04,10/01/16 00:40
106,-37,-9,0.8699473527,05/01/16 01:04,10/01/16 00:40
107,-37,-7,0.9519779085,05/01/16 01:04,10/01/16 00:40
108,-37,-5,1.5120906485,05/01/16 01:04,10/01/16 00:40
109,-35,-9,18.3930200725,05/01/16 01:04,10/01/16 00:40
110,-35,-7,1.136362175,05/01/16 01:04,10/01/16 00:40
111,-35,-5,1.3537457933,05/01/16 01:04,10/01/16 00:40
112,-9,39,1.8733016931,05/01/16 01:04,10/01/16 00:40
113,-3,41,0.6363974676,05/01/16 01:04,10/01/16 00:40
114,3,37,0.7510599635,05/01/16 01:04,10/01/16 00:40
115,3,49,0.8645372313,05/01/16 01:04,10/01/16 00:40
116,5,9,0.605416542,05/01/16 01:04,10/01/16 00:40
117,33,1,0.8287449045,05/01/16 01:04,10/01/16 00:40
118,67,25,0.7474246243,05/01/16 01:04,10/01/16 00:40
119,73,19,0.7994058304,05/01/16 01:04,10/01/16 00:40
