"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"951",26,"2016-01-05 01:04:00",-47.1972085,-22.6437397,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"950",18,"2016-01-05 01:05:23",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"949",24,"2016-01-05 01:08:57",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"948",25,"2016-01-05 01:19:33",-49.1770094,-26.7356217,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"947",NA,"2016-01-05 01:28:25",-81.0998341,32.0835407,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"946",11,"2016-01-05 01:30:54",-66.1109317,8.0018709,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"945",19,"2016-01-05 01:44:25",-55.727467,-22.5236896,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"944",30,"2016-01-05 02:03:41",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"943",30,"2016-01-05 02:10:21",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"942",31,"2016-01-05 02:15:24",-42.5270801,-19.4777806,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"941",NA,"2016-01-05 02:33:22",-74.0852376575,4.63874255,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"940",7,"2016-01-05 02:34:59",-70.3028025,19.0974031,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"939",26,"2016-01-05 02:35:37",-46.5629623,-23.690102,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"938",31,"2016-01-05 02:58:11",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"937",22,"2016-01-05 03:06:18",-50.8930409,-22.2269099,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"936",24,"2016-01-05 03:10:24",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"935",17,"2016-01-05 03:11:23",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"934",17,"2016-01-05 03:13:59",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"933",30,"2016-01-05 03:14:07",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"932",17,"2016-01-05 03:25:13",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"931",38,"2016-01-05 03:28:09",123.9968104864,10.30231135,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"930",37,"2016-01-05 03:39:15",101.9820014518,3.97822225,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"929",36,"2016-01-05 03:44:20",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"928",30,"2016-01-05 03:47:16",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"927",34,"2016-01-05 03:55:17",-35.0320983,-8.2838944,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"926",26,"2016-01-05 04:01:25",-45.5338951,-22.4029371,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"925",12,"2016-01-05 04:19:06",-68.0035529,10.1828036,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"924",30,"2016-01-05 04:20:38",-43.0309251,-22.8219013,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"923",26,"2016-01-05 04:22:46",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"922",38,"2016-01-05 04:25:26",121.0486155,14.6509905,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"921",21,"2016-01-05 04:32:50",-53.0554368,-25.746468,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"920",18,"2016-01-05 04:33:49",-58.8328657,-27.4720341,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"919",24,"2016-01-05 04:42:18",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"918",36,"2016-01-05 04:47:08",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"917",NA,"2016-01-05 04:52:21",-59.9864061,-3.1319514,"2016-01-05 01:04:00","2016-01-10 00:40:50"
