OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,Shape_Leng,Shape_Area
1,1,AFG,Afghanistan,1,Badakhshan,AF.BD,0,,Velayat,Province,,Badahšan,19.50877493110,4.42520049261
2,1,AFG,Afghanistan,2,Badghis,AF.BG,0,,Velayat,Province,,Badghes|Badghisat|Badgis,7.46704044543,2.03651381525
3,1,AFG,Afghanistan,3,Baghlan,AF.BL,0,,Velayat,Province,,Baglan|Bughlan,8.38252288028,2.10343851779
4,1,AFG,Afghanistan,4,Balkh,AF.BK,0,,Velayat,Province,,Balh|Mazar-i-Sharif|Mazar,7.18234308282,1.73879121746
5,1,AFG,Afghanistan,5,Bamyan,AF.BM,0,,Velayat,Province,,,7.35319279875,1.39488223863
6,1,AFG,Afghanistan,6,Daykundi,AF.DK,0,,Velayat,Province,,<Null>,7.06772075314,1.74260108500
7,1,AFG,Afghanistan,7,Farah,AF.FH,0,,Velayat,Province,,,12.53951064240,4.65378918666
8,1,AFG,Afghanistan,8,Faryab,AF.FB,0,,Velayat,Province,,Fariab|Maimana|Meymaneh,8.48827473257,2.03055980255
9,1,AFG,Afghanistan,9,Ghazni,AF.GZ,0,,Velayat,Province,,Gazni,9.33648332866,2.21842716682
10,1,AFG,Afghanistan,10,Ghor,AF.GR,0,,Velayat,Province,,Gawr|Ghore|Ghour|Ghur,12.39093144350,3.56658739537
11,1,AFG,Afghanistan,11,Hilmand,AF.HM,0,,Velayat,Province,,Girishk|Hilmend,11.51977507130,5.53517360700
12,1,AFG,Afghanistan,12,Hirat,AF.HR,0,,Velayat,Province,,,14.00839387910,5.35367696304
13,1,AFG,Afghanistan,13,Jawzjan,AF.JW,0,,Velayat,Province,,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,6.10251605636,1.19200446914
14,1,AFG,Afghanistan,14,Kabul,AF.KB,0,,Velayat,Province,,Cabul|Kabol|Kaboul,3.71140101373,0.43853277723
15,1,AFG,Afghanistan,15,Kandahar,AF.KD,0,,Velayat,Province,,Qandahar,12.32733773730,5.05267619945
16,1,AFG,Afghanistan,16,Kapisa,AF.KP,0,,Velayat,Province,,Kapesa,2.26343919666,0.18822406376
17,1,AFG,Afghanistan,17,Khost,AF.KT,0,,Velayat,Province,,,3.29544260679,0.38972087688
18,1,AFG,Afghanistan,18,Kunar,AF.KR,0,,Velayat,Province,,Konarha|Kunarha,3.85837308969,0.48266420817
19,1,AFG,Afghanistan,19,Kunduz,AF.KZ,0,,Velayat,Province,,Kondoz|Qonduz|Qunduz,4.55177857007,0.81247339897
20,1,AFG,Afghanistan,20,Laghman,AF.LA,0,,Velayat,Province,,Lagman,3.19940869438,0.37827082962
21,1,AFG,Afghanistan,21,Logar,AF.LW,0,,Velayat,Province,,Lawghar|Loghar,2.90540151793,0.37756740983
22,1,AFG,Afghanistan,22,Nangarhar,AF.NG,0,,Velayat,Province,,Ningrahar|Eastern Province,4.71639812597,0.73112665290
23,1,AFG,Afghanistan,23,Nimroz,AF.NM,0,,Velayat,Province,,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,9.51022578958,3.86167712288
24,1,AFG,Afghanistan,24,Nuristan,AF.NR,0,,Velayat,Province,,Nooristan|Nuristão,5.65260161551,0.91545281799
25,1,AFG,Afghanistan,25,Paktika,AF.PK,0,,Velayat,Province,,Paktiya|Paktya|Southern Province,7.19306797745,1.82866377314
26,1,AFG,Afghanistan,26,Paktya,AF.PT,0,,Velayat,Province,,Paktiya|Southern Province,4.40585545882,0.62512393399
27,1,AFG,Afghanistan,27,Panjshir,AF.PJ,0,,Velayat,Province,,<Null>,3.33815650781,0.36094366838
28,1,AFG,Afghanistan,28,Parwan,AF.PV,0,,Velayat,Province,,Charikar,4.86435805849,0.58128514361
29,1,AFG,Afghanistan,29,Samangan,AF.SM,0,,Velayat,Province,,,5.30702071982,1.12515450163
30,1,AFG,Afghanistan,30,Sari Pul,AF.SP,0,,Velayat,Province,,Sar-e Pul|Saripol,7.54047245572,1.59374515581
31,1,AFG,Afghanistan,31,Takhar,AF.TK,0,,Velayat,Province,,Takar,6.43321445704,1.24418524450
32,1,AFG,Afghanistan,32,Uruzgan,AF.OZ,0,,Velayat,Province,,Urozgan,5.94681285299,1.23870262003
33,1,AFG,Afghanistan,33,Wardak,AF.VR,0,,Velayat,Province,,Verdak|Wardag|Maiden,5.32458848463,0.87399209703
34,1,AFG,Afghanistan,34,Zabul,AF.ZB,0,,Velayat,Province,,Zubul|Zaboul,7.53810237590,1.65775866506
35,2,XAD,Akrotiri and Dhekelia,1,"Akrotiri
",,0,,Sovereign Base Area,Sovereign Base Area,,Western Sovereign Base Area,1.04115050264,0.01072911842
36,2,XAD,Akrotiri and Dhekelia,2,Dhekelia,,0,,Sovereign Base Area,Sovereign Base Area,,Eastern Sovereign Base Area,1.15790772318,0.01237686745
37,3,ALA,Åland,1,Brändö,AX.BR,0,,Municipality,Municipality,,Braendoe,4.07075046144,0.01251400126
38,3,ALA,Åland,2,Eckerö,AX.EC,0,,Municipality,Municipality,,Eckeroe,1.80528310398,0.01678869815
39,3,ALA,Åland,3,Föglö,AX.FG,0,,Municipality,Municipality,,Foegloe,8.99260834109,0.02258235937
40,3,ALA,Åland,4,Finström,AX.FN,0,,Municipality,Municipality,,Finstroem,1.11916751685,0.02611525779
