"adminLvl1","country","date","count"
"Buenos Aires","Argentine",2016-01-04,3443
"Buenos Aires Province","Argentine",2016-01-04,498
"Misiones Province","Argentine",2016-01-04,1123
"Santa Fe Province","Argentine",2016-01-04,266
"Corrientes Province","Argentine",2016-01-04,283
"Salta Province","Argentine",2016-01-04,65
"Chaco Province","Argentine",2016-01-04,179
"Mendoza Province","Argentine",2016-01-04,42
"Entre Ríos Province","Argentine",2016-01-04,51
"Córdoba Province, Argentina","Argentine",2016-01-04,68
"Tucumán Province","Argentine",2016-01-04,26
"Chubut Province","Argentine",2016-01-04,30
"Jujuy Province","Argentine",2016-01-04,14
"Neuquén Province","Argentine",2016-01-04,5
"Formosa Province","Argentine",2016-01-04,69
"Río Negro Province","Argentine",2016-01-04,10
"Tierra del Fuego Province","Argentine",2016-01-04,13
"Catamarca Province","Argentine",2016-01-04,22
"Santa Cruz Province","Argentine",2016-01-04,6
"La Pampa Province","Argentine",2016-01-04,6
"La Rioja Province","Argentine",2016-01-04,4
"San Luis Province","Argentine",2016-01-04,3
"San Juan Province","Argentine",2016-01-04,7
"Santiago del Estero Province","Argentine",2016-01-04,0
"La Paz","Bolivia",2016-01-04,53
"El Beni","Bolivia",2016-01-04,1
"Santa Cruz","Bolivia",2016-01-04,0
"Tarija","Bolivia",2016-01-04,3
"Cochabamba","Bolivia",2016-01-04,0
"Potosí","Bolivia",2016-01-04,0
"Oruro","Bolivia",2016-01-04,1
"Chuquisaca","Bolivia",2016-01-04,0
"Pando","Bolivia",2016-01-04,0
"Federal District","Brazil",2016-01-04,13820
"São Paulo","Brazil",2016-01-04,2506
"Rio de Janeiro","Brazil",2016-01-04,1278
"Minas Gerais","Brazil",2016-01-04,1451
"Paraná","Brazil",2016-01-04,1360
"Rio Grande do Sul","Brazil",2016-01-04,439
"Santa Catarina","Brazil",2016-01-04,376
"Bahia","Brazil",2016-01-04,270
"Pernambuco","Brazil",2016-01-04,365
"Goiás","Brazil",2016-01-04,260
"Rio Grande do Norte","Brazil",2016-01-04,130
"Espírito Santo","Brazil",2016-01-04,202
"Ceará","Brazil",2016-01-04,157
"Pará","Brazil",2016-01-04,185
"Paraíba","Brazil",2016-01-04,190
"Maranhão","Brazil",2016-01-04,78
"Amazonas","Brazil",2016-01-04,117
"Mato Grosso do Sul","Brazil",2016-01-04,170
"Mato Grosso","Brazil",2016-01-04,77
"Alagoas","Brazil",2016-01-04,76
"Piauí","Brazil",2016-01-04,53
"Tocantins","Brazil",2016-01-04,30
"Amapá","Brazil",2016-01-04,46
"Sergipe","Brazil",2016-01-04,31
"Acre","Brazil",2016-01-04,44
"Rondônia","Brazil",2016-01-04,32
"Roraima","Brazil",2016-01-04,14
"Región Metropolitana de Santiago","Chile",2016-01-04,164
"Bío-Bío","Chile",2016-01-04,19
"Valparaíso","Chile",2016-01-04,15
"Los Lagos","Chile",2016-01-04,8
"La Araucanía","Chile",2016-01-04,4
"Maule","Chile",2016-01-04,0
"Atacama","Chile",2016-01-04,0
"Coquimbo","Chile",2016-01-04,2
"Los Ríos","Chile",2016-01-04,1
"Antofagasta","Chile",2016-01-04,2
"Tarapacá","Chile",2016-01-04,1
"Libertador General Bernardo O'Higgins","Chile",2016-01-04,2
"Arica y Parinacota","Chile",2016-01-04,0
"Magallanes y Antártica Chilena","Chile",2016-01-04,1
"Aisén del General Carlos Ibáñez del Campo","Chile",2016-01-04,0
"Córdoba","Colombia",2016-01-04,327
"Bogota","Colombia",2016-01-04,538
"Antioquia","Colombia",2016-01-04,39
"Atlántico","Colombia",2016-01-04,52
"Cauca","Colombia",2016-01-04,23
"Valle del Cauca","Colombia",2016-01-04,28
"Bolívar","Colombia",2016-01-04,58
"Santander","Colombia",2016-01-04,30
"Cesar","Colombia",2016-01-04,19
"Sucre","Colombia",2016-01-04,5
"Risaralda","Colombia",2016-01-04,32
"Meta","Colombia",2016-01-04,14
"Huila","Colombia",2016-01-04,10
"Boyacá","Colombia",2016-01-04,10
"Magdalena","Colombia",2016-01-04,11
"Casanare","Colombia",2016-01-04,6
"Norte de Santander","Colombia",2016-01-04,22
"Tolima","Colombia",2016-01-04,5
"La Guajira","Colombia",2016-01-04,5
"Nariño","Colombia",2016-01-04,3
"Cundinamarca","Colombia",2016-01-04,3
"Caldas","Colombia",2016-01-04,9
"Caquetá","Colombia",2016-01-04,4
"Quindío","Colombia",2016-01-04,4
"Arauca","Colombia",2016-01-04,1
"Chocó","Colombia",2016-01-04,0
"Putumayo","Colombia",2016-01-04,0
"San Andrés y Providencia","Colombia",2016-01-04,0
"Vaupés","Colombia",2016-01-04,0
"Vichada","Colombia",2016-01-04,0
"Guaviare","Colombia",2016-01-04,0
"Guainía","Colombia",2016-01-04,0
"Amazonas","Colombia",2016-01-04,0
"Pichincha","Ecuador",2016-01-04,141
"Guayas","Ecuador",2016-01-04,181
"Loja","Ecuador",2016-01-04,23
"Manabi","Ecuador",2016-01-04,52
"El Oro","Ecuador",2016-01-04,9
"Los Rios","Ecuador",2016-01-04,0
"Azuay","Ecuador",2016-01-04,4
"Esmeraldas","Ecuador",2016-01-04,1
"Zamora Chinchipe","Ecuador",2016-01-04,0
"Tungurahua","Ecuador",2016-01-04,1
"Santa Elena","Ecuador",2016-01-04,3
"Morona Santiago","Ecuador",2016-01-04,0
"Imbabura","Ecuador",2016-01-04,1
"Galápagos","Ecuador",2016-01-04,0
"Chimborazo","Ecuador",2016-01-04,1
"Napo","Ecuador",2016-01-04,0
"Orellana","Ecuador",2016-01-04,0
"Santo Domingo de los Tsáchilas","Ecuador",2016-01-04,0
"Cañar","Ecuador",2016-01-04,0
"Cotopaxi","Ecuador",2016-01-04,0
"Sucumbios","Ecuador",2016-01-04,0
"Pastaza","Ecuador",2016-01-04,0
"Bolivar","Ecuador",2016-01-04,0
"Carchi","Ecuador",2016-01-04,0
"East Berbice-Corentyne","Guyana",2016-01-04,1
"Mahaica-Berbice","Guyana",2016-01-04,0
"Upper Takutu-Upper Essequibo","Guyana",2016-01-04,0
"Upper Demerara-Berbice","Guyana",2016-01-04,0
"Potaro-Siparuni","Guyana",2016-01-04,0
"Pomeroon-Supenaam","Guyana",2016-01-04,0
"Essequibo Islands-West Demerara","Guyana",2016-01-04,0
"Demerara-Mahaica","Guyana",2016-01-04,0
"Cuyuni-Mazaruni","Guyana",2016-01-04,0
"Barima-Waini","Guyana",2016-01-04,0
"Asunción","Paraguay",2016-01-04,2034
"Central","Paraguay",2016-01-04,147
"Alto Paraná","Paraguay",2016-01-04,60
"Itapúa","Paraguay",2016-01-04,28
"Caaguazú","Paraguay",2016-01-04,30
"Misiones","Paraguay",2016-01-04,14
"Guairá","Paraguay",2016-01-04,32
"Ñeembucú","Paraguay",2016-01-04,18
"Amambay","Paraguay",2016-01-04,28
"Presidente Hayes","Paraguay",2016-01-04,2
"Concepción","Paraguay",2016-01-04,12
"Cordillera","Paraguay",2016-01-04,2
"Paraguarí","Paraguay",2016-01-04,0
"Caazapá","Paraguay",2016-01-04,7
"San Pedro","Paraguay",2016-01-04,9
"Canindeyú","Paraguay",2016-01-04,0
"Boquerón","Paraguay",2016-01-04,0
"Alto Paraguay","Paraguay",2016-01-04,0
"Lima Province","Peru",2016-01-04,272
"La Libertad","Peru",2016-01-04,6
"Piura","Peru",2016-01-04,4
"Lima","Peru",2016-01-04,14
"Ayacucho","Peru",2016-01-04,7
"Arequipa","Peru",2016-01-04,5
"Ucayali","Peru",2016-01-04,12
"Junín","Peru",2016-01-04,52
"Ancash","Peru",2016-01-04,3
"Lambayeque","Peru",2016-01-04,1
"Callao","Peru",2016-01-04,1
"Callao","Peru",2016-01-04,1
"Loreto","Peru",2016-01-04,2
"San Martín","Peru",2016-01-04,1
"Cajamarca","Peru",2016-01-04,4
"Madre de Dios","Peru",2016-01-04,1
"Cusco","Peru",2016-01-04,6
"Huánuco","Peru",2016-01-04,0
"Tumbes","Peru",2016-01-04,0
"Ica","Peru",2016-01-04,0
"Huancavelica","Peru",2016-01-04,1
"Tacna","Peru",2016-01-04,0
"Amazonas","Peru",2016-01-04,0
"Moquegua","Peru",2016-01-04,0
"Apurímac","Peru",2016-01-04,0
"Pasco","Peru",2016-01-04,0
"Paramaribo","Suriname",2016-01-04,0
"Wanica","Suriname",2016-01-04,0
"Sipaliwini","Suriname",2016-01-04,0
"Saramacca","Suriname",2016-01-04,0
"Para","Suriname",2016-01-04,0
"Nickerie","Suriname",2016-01-04,0
"Marowijne","Suriname",2016-01-04,0
"Coronie","Suriname",2016-01-04,0
"Commewijne","Suriname",2016-01-04,0
"Brokopondo","Suriname",2016-01-04,0
"Montevideo","Uruguay",2016-01-04,297
"Canelones","Uruguay",2016-01-04,7
"Maldonado","Uruguay",2016-01-04,7
"Salto","Uruguay",2016-01-04,15
"Lavalleja","Uruguay",2016-01-04,19
"Tacuarembó","Uruguay",2016-01-04,5
"Paysandú","Uruguay",2016-01-04,4
"Durazno","Uruguay",2016-01-04,1
"Colonia","Uruguay",2016-01-04,2
"Río Negro","Uruguay",2016-01-04,0
"Artigas","Uruguay",2016-01-04,0
"Rocha","Uruguay",2016-01-04,2
"Flores","Uruguay",2016-01-04,0
"Rivera","Uruguay",2016-01-04,1
"Soriano","Uruguay",2016-01-04,4
"Treinta y Tres","Uruguay",2016-01-04,0
"Cerro Largo","Uruguay",2016-01-04,5
"San José","Uruguay",2016-01-04,0
"Florida","Uruguay",2016-01-04,1
"Distrito Capital","Venezuela",2016-01-04,4955
"Aragua","Venezuela",2016-01-04,587
"Carabobo","Venezuela",2016-01-04,330
"Zulia","Venezuela",2016-01-04,163
"Lara","Venezuela",2016-01-04,128
"Táchira","Venezuela",2016-01-04,81
"Guárico","Venezuela",2016-01-04,25
"Barinas","Venezuela",2016-01-04,32
"Monagas","Venezuela",2016-01-04,43
"Bolívar","Venezuela",2016-01-04,82
"Anzoátegui","Venezuela",2016-01-04,71
"Miranda","Venezuela",2016-01-04,70
"Falcón","Venezuela",2016-01-04,41
"Vargas","Venezuela",2016-01-04,25
"Cojedes","Venezuela",2016-01-04,9
"Mérida","Venezuela",2016-01-04,62
"Yaracuy","Venezuela",2016-01-04,14
"Trujillo","Venezuela",2016-01-04,14
"Portuguesa","Venezuela",2016-01-04,14
"Nueva Esparta","Venezuela",2016-01-04,15
"Sucre","Venezuela",2016-01-04,6
"Apure","Venezuela",2016-01-04,4
"Amazonas","Venezuela",2016-01-04,0
"Delta Amacuro","Venezuela",2016-01-04,2
"Dependencias Federales","Venezuela",2016-01-04,0
"Buenos Aires","Argentine",2016-01-11,10362
"Buenos Aires Province","Argentine",2016-01-11,2520
"Misiones Province","Argentine",2016-01-11,1211
"Santa Fe Province","Argentine",2016-01-11,512
"Corrientes Province","Argentine",2016-01-11,429
"Salta Province","Argentine",2016-01-11,139
"Chaco Province","Argentine",2016-01-11,296
"Mendoza Province","Argentine",2016-01-11,171
"Entre Ríos Province","Argentine",2016-01-11,105
"Córdoba Province, Argentina","Argentine",2016-01-11,105
"Tucumán Province","Argentine",2016-01-11,171
"Chubut Province","Argentine",2016-01-11,50
"Jujuy Province","Argentine",2016-01-11,75
"Neuquén Province","Argentine",2016-01-11,33
"Formosa Province","Argentine",2016-01-11,129
"Río Negro Province","Argentine",2016-01-11,27
"Tierra del Fuego Province","Argentine",2016-01-11,46
"Catamarca Province","Argentine",2016-01-11,38
"Santa Cruz Province","Argentine",2016-01-11,12
"La Pampa Province","Argentine",2016-01-11,9
"La Rioja Province","Argentine",2016-01-11,7
"San Luis Province","Argentine",2016-01-11,6
"San Juan Province","Argentine",2016-01-11,4
"Santiago del Estero Province","Argentine",2016-01-11,3
"La Paz","Bolivia",2016-01-11,34
"El Beni","Bolivia",2016-01-11,8
"Santa Cruz","Bolivia",2016-01-11,2
"Tarija","Bolivia",2016-01-11,3
"Cochabamba","Bolivia",2016-01-11,0
"Potosí","Bolivia",2016-01-11,0
"Oruro","Bolivia",2016-01-11,0
"Chuquisaca","Bolivia",2016-01-11,0
"Pando","Bolivia",2016-01-11,0
