"Labels","2016-01-04","2016-01-11","2016-01-18","2016-01-25","2016-02-01","2016-02-08","2016-02-15","2016-02-22","2016-02-29","2016-03-07","2016-03-14","2016-03-21","2016-03-28","2016-04-04","2016-04-11","2016-04-18","2016-04-25","2016-05-02","2016-05-09","2016-05-16","2016-05-23","2016-05-30","2016-06-06","2016-06-13","2016-06-20","2016-06-27","2016-07-04","2016-07-11","2016-07-18","2016-07-25","2016-08-01","2016-08-08","2016-08-15","2016-08-22","2016-08-29","2016-09-05","2016-09-12","2016-09-19","2016-09-26","2016-10-03","2016-10-10","2016-10-17","2016-10-24","2016-10-31","2016-11-07","2016-11-14","2016-11-21","country"
"Buenos Aires",3443,10362,24475,22134,19495,17947,8053,5799,21487,10298,13193,9111,8684,7541,8463,7296,6607,3738,3111,2072,2061,913,1458,681,415,736,715,423,455,1135,327,928,1709,836,418,482,432,779,1300,1195,873,845,1804,1959,2089,1708,942,"Argentine"
"Buenos Aires Province",498,2520,5716,5520,5797,5153,2724,2033,5117,2850,3334,2001,2025,1745,1617,1082,1320,685,552,517,564,245,343,167,112,101,121,81,82,205,84,207,316,140,120,149,144,195,283,286,181,306,677,670,512,433,312,"Argentine"
"Misiones Province",1123,1211,2438,2345,2605,1699,1426,1378,992,742,1014,548,527,439,596,320,281,202,193,95,170,173,192,67,62,73,84,45,55,65,78,67,118,75,69,36,148,146,103,87,111,162,102,146,293,91,212,"Argentine"
"Santa Fe Province",266,512,1630,2400,2802,2201,1057,872,1030,759,804,821,508,601,1008,517,554,415,297,167,136,71,164,369,51,59,68,48,179,80,73,37,111,189,136,28,31,115,67,51,69,56,119,129,303,158,63,"Argentine"
"Corrientes Province",283,429,661,802,807,1003,767,533,490,477,630,231,385,369,301,106,134,71,80,88,37,20,15,211,8,9,12,8,6,14,8,11,37,37,21,25,54,34,27,49,20,9,70,135,30,44,31,"Argentine"
"Salta Province",65,139,153,248,188,284,129,113,199,168,550,114,83,117,477,1285,508,100,64,24,17,18,10,17,11,8,3,3,0,4,22,7,12,16,15,7,9,44,30,24,67,29,49,29,40,53,27,"Argentine"
"Chaco Province",179,296,380,433,480,308,150,130,145,113,145,114,119,156,134,101,234,88,74,44,66,33,23,31,11,14,7,9,3,14,6,7,33,31,51,28,13,19,18,11,13,18,24,60,28,16,21,"Argentine"
"Mendoza Province",42,171,553,511,564,421,149,86,230,114,179,114,99,71,115,92,100,46,54,31,31,14,11,11,13,12,11,0,6,13,4,8,14,5,6,5,2,11,19,8,11,10,29,48,12,19,12,"Argentine"
"Entre Ríos Province",51,105,245,229,267,272,136,193,389,273,338,258,143,157,281,219,67,37,33,41,16,11,12,12,6,5,3,6,3,9,3,3,32,9,2,9,6,17,15,23,8,13,32,41,33,16,6,"Argentine"
"Córdoba Province, Argentina",68,105,237,310,270,305,141,93,188,86,153,130,63,56,96,62,206,22,30,32,10,5,8,1,2,4,7,2,2,9,5,10,10,15,16,2,5,21,17,10,21,11,16,22,52,23,15,"Argentine"
"Tucumán Province",26,171,308,216,259,214,112,66,190,117,140,118,69,142,80,107,74,38,67,47,25,10,3,8,4,10,4,1,3,9,3,5,14,4,4,13,3,7,9,5,12,4,27,34,23,21,29,"Argentine"
"Chubut Province",30,50,153,297,318,199,66,78,136,74,70,71,120,49,83,66,65,48,43,44,30,34,23,28,15,4,14,16,5,8,1,8,13,7,4,5,7,22,21,19,21,23,25,22,34,20,13,"Argentine"
"Jujuy Province",14,75,193,218,126,76,102,109,98,44,104,53,45,29,109,53,38,14,13,5,3,4,19,0,2,1,1,3,28,8,1,0,9,3,2,4,2,3,4,2,3,15,9,9,6,17,29,"Argentine"
"Neuquén Province",5,33,113,88,85,123,33,26,67,33,64,48,38,35,32,17,29,14,10,28,10,2,9,6,1,6,4,1,1,5,1,1,13,1,1,0,1,5,3,12,5,4,12,439,64,10,2,"Argentine"
"Formosa Province",69,129,222,154,141,99,100,48,36,26,41,20,23,10,20,14,11,4,4,4,3,0,2,3,1,1,0,8,2,23,5,1,4,28,5,4,1,2,1,1,5,2,6,6,5,13,3,"Argentine"
"Río Negro Province",10,27,128,73,124,124,50,45,116,40,61,43,19,19,39,23,20,21,20,20,8,7,6,5,1,2,2,2,4,1,2,1,13,1,2,1,0,5,3,7,1,6,3,13,14,6,4,"Argentine"
"Tierra del Fuego Province",13,46,83,118,89,126,40,41,46,28,33,39,22,12,36,11,17,12,11,11,11,8,3,13,3,2,2,1,3,7,4,6,3,2,1,0,2,18,3,0,4,3,2,10,6,0,0,"Argentine"
"Catamarca Province",22,38,67,63,70,45,39,35,54,27,38,24,19,14,18,5,11,4,6,2,5,7,0,1,1,1,2,0,1,4,3,1,8,0,1,2,2,5,5,0,1,3,3,9,7,3,1,"Argentine"
