,Unnamed: 0,id,date,geo,lat,long,text
0,0,801573058041548801,2016-11-24 00:48:04,"Sabará, Brasil",-19.8900371,-43.8107915,Quem ouvir a @radioitatiaia e não ouvir o @pequetitoglobo na rádio globo vai pegar dengue amanhã!!!!!!
1,1,801567751370326016,2016-11-24 00:26:58,"Brasília, Brazil",-10.3333332,-53.1999999,@tropicalalien_ ai que bom! mto melhor que dengue né hahah toma um chazinho de alho limão e mel + gengibre que jajá ce fica boa
4,5,801563702717771776,2016-11-24 00:10:53,"Entre Ríos, Argentina",-31.6252841,-59.3539577,Importante charla sobre  Dengue  en el Salon Heraldo Peragallo para alumnos de 5to años de las… https://www. instagram.com/p/BNK61UCjToK/
8,9,801560940600848384,2016-11-23 23:59:55,"Guarujá, Brasil",-23.9927767,-46.2558331,@LellysSilva suspeita de dengue  sinusite crônica + crises
10,11,801559189990625285,2016-11-23 23:52:57,"Taboão da Serra, Brasil",-23.6121911,-46.77905379999999,@InacioBiel @gabscorreiaa_ @Gaby_Menndesmanoeu to com o copo parado ela fica me acelerando dizendo q água parada atrai dengue olha o nível
11,12,801557867635445762,2016-11-23 23:47:42,"Caseros, Argentina",-34.6073659,-58.56613100000001,Ayer en el Instituto Murialdo Juventud y Salud articularon una charla sobre prevención del dengue @dievalen @carac_maria @Municipalidad3F pic.twitter.com/5ciZTMHnCD
12,13,801557546746204165,2016-11-23 23:46:26,Dominican Republic,19.0974031,-70.3028025,Salud Pública reporta gran descenso en últimas semanas de Zika y Dengue http:// curiosodigital.com.do/salud/item/409 87-salud-publica-reporta-gran-descenso-en-ultimas-semanas-de-zika-y-dengue#.WDYcNNddWDU.twitter … pic.twitter.com/L6VjKYhogT
13,14,801557260845666306,2016-11-23 23:45:17,"Alto Parana, Paraguay",-25.4999999,-54.8333329,Vacuna contra el dengue ya hay... Y adivinen que!!!
14,16,801530450317611008,2016-11-23 21:58:45,"São José dos Campos, Brasil",-23.180501,-45.8872968,eu tenho trauma da dengue hemorragica e agr qlqr picada que vejo ja fico nervosa
15,17,801528279576547328,2016-11-23 21:50:08,"Palmas, Brazil",-10.1835603,-48.3337792,Orando pra esse mal-estar terrível não ser dengue .
16,18,801513695180455936,2016-11-23 20:52:10,"Central, Paraguay",-25.4999999,-57.49999989999999,Que me agarre nomas el dengue .. https:// twitter.com/caceres106/sta tus/801513147702116355 …
17,19,801508501327646721,2016-11-23 20:31:32,"Central, Paraguay",-25.4999999,-57.49999989999999,@UltimaHoracom esos 1.100 millones alcansan para 541 vacunas de 3 docis c/u contra el dengue o para unos 2.200.000 desayunos para niños
18,20,801500726228721664,2016-11-23 20:00:38,"Benito Juárez, Quintana Roo",20.98154135,-87.0750071863356,Dengue fever kills 20 in Burkina Faso http://www. bbc.co.uk/news/world-afr ica-38078754 …
19,23,801486192633999360,2016-11-23 19:02:53,"Curitiba, Brazil",-25.429569600000004,-49.2712361,DENGUE http://www. drbrun.xpg.uol.com.br/dengue.htm
20,24,801482511721304064,2016-11-23 18:48:16,"Rio de Janeiro, Brazil",-22.911013600000004,-43.2093726,Dengue aqui
21,25,801480023391748096,2016-11-23 18:38:23,"La Plata, Argentina",-34.9206796,-57.9537637,@BarreseCesar @lanusmunicipio @Nestorgrindetti Dentro del plan de prevencion del #Dengue puedan levantar la basura de Lacarra 750 y las vias
22,28,801467485744668673,2016-11-23 17:48:33,"Vitória, Brazil",-20.2996825,-40.3016326,Suspeita de dengue de novoque legal
23,29,801464243623264256,2016-11-23 17:35:40,"Bogotá, D.C., Colombia",4.63874255,-74.08523765754501,Enferm@s prob+conf #dengue /16 a 12 nov Huil 3.730 Neiv 1.551 LPlat 550 Pitalit 404 Garz 341 @secresaludHuila Huila en brote @AsambleaHuila
24,30,801461833265713152,2016-11-23 17:26:06,"Lucas do Rio Verde, Brasil",-13.0654549,-55.9200769,@izzagambin gripe/virose/ dengue sla oq é isso
25,31,801459712340480002,2016-11-23 17:17:40,El Salvador,13.800038199999998,-88.9140682,Hemos tenido éxito en el manejo de Zika dengue y Chik tenemos la menor mortalidad por estas enfermedades en las Américas. Vía @_RoxanaRuiz pic.twitter.com/uqn4zhDkxH
